DISTRITO DE AVEIRO                    Concelho de ÁGUEDA
União das freguesias de Nogueira e Ermida                   -                                                    -
Vila Real                                                   -                                                    -
Torgueda                                                    -                                                    -
União das freguesias de Pena, Quintã e Vila Cova            -                                                    -
Arroios                                                     -                                                    -
Andrães                                                     -                                                    -
Abaças                                                      -                                                    -
Parada de Cunhos                                            -                                                    -
Campeã                                                      -                                                    -
Folhadela                                                   -                                                    -
Guiães                                                      -                                                    -
Lordelo                                                     -                                                    -
Mateus                                                      -                                                    -
Mondrões                                                    -                                                    -

DISTRITO DE VISEU                     Concelho de ARMAMAR
                          Freguesia                                                  Presidente                  Força política
União das freguesias de São Romão e Santiago              -                                                    -
União das freguesias de Aricera e Goujoim                 -                                                    -
Armamar                                                    SUSANA ISABEL DE ALMEIDA MENDES        PPD/PSD
Vacalar                                                    CLÁUDIA FILIPA RODRIGUES FONSECA       PPD/PSD
São Martinho das Chãs                                     -                                                    -
União das freguesias de Vila Seca e Santo Adrião           MANUEL JOÃO SEQUEIRA DA SILVA          GCE (GRUPO DE CIDADÃOS ELEITORES)
Queimadela                                                 EMMANUEL CARREIRA GALVÃO               GCE (GRUPO DE CIDADÃOS ELEITORES)
Queimada                                                   HORÁCIO TEIXEIRA IGREJA                PPD/PSD
Fontelo                                                   -                                                    -
Folgosa                                                    AUGUSTO DOMINGOS SIMÃO AZEVEDO         GCE (GRUPO DE CIDADÃOS ELEITORES)
Cimbres                                                   -                                                    -
Aldeias                                                   -                                                    -
Santa Cruz                                                 HUGO CAMILO GOUVEIA                    PPD/PSD
São Cosmado                                               -                                                    -

DISTRITO DE VISEU                   Concelho de CARREGAL DO SAL
                        Freguesia                                                 Presidente                            Força política
Cabanas de Viriato                                      NUNO MIGUEL PAIS SEABRA                          GCE (GRUPO DE CIDADÃOS ELEITORES)
Carregal do Sal                                         ANTÓNIO JOSÉ RODRIGUES DOS SANTOS                PS
Oliveira do Conde                                       CARLOS MANUEL TELES DE ALMEIDA FERREIRA BASTOS   PS
Beijós                                                  JOAQUIM MARQUES FERRÃO LOUREIRO                  PPD/PSD.CDS-PP
Parada                                                  JOÃO CARLOS CORREIA LOURENÇO                     PS

DISTRITO DE VISEU                     Concelho de CASTRO DAIRE
                          Freguesia                                                   Presidente                  Força política
Pepim                                                     -                                                    -
União das freguesias de Mezio e Moura Morta               -                                                    -
União das freguesias de Reriz e Gafanhão                  -                                                    -
União das freguesias de Parada de Ester e Ester            NUNO MIGUEL MARTINS CRESCÊNCIO          PPD/PSD
União das freguesias de Mamouros, Alva e Ribolhos         -                                                    -
São Joaninho                                              -                                                    -
Pinheiro                                                  -                                                    -
Cabril                                                    -                                                    -
Moledo                                                    -                                                    -
Mões                                                      -                                                    -
Gosende                                                   -                                                    -
Cujó                                                      -                                                    -
Almofala                                                  -                                                    -
Castro Daire                                              -                                                    -
União das freguesias de Picão e Ermida                     DANIEL AUGUSTO CARDOSO DOS SANTOS       CDS-PP.PPD/PSD
Monteiras                                                  AMÉRICO PEREIRA DA SILVA                CDS-PP.PPD/PSD

DISTRITO DE VISEU                    Concelho de CINFÃES
                         Freguesia                                                      Presidente                       Força política
Santiago de Piães                                              FILIPE MIGUEL NUNES ANDRADE                PS
Souselo                                                        IVO SAMUEL TEIXEIRA FIDALGO DE MELO        PS
Tarouquela                                                     FELICIDADE MARIA DA SILVA SANTOS           PS
Tendais                                                        JOSÉ NUNO CUNHA LEAL                       PPD/PSD.CDS-PP
União das freguesias de Alhões, Bustelo, Gralheira e Ramires   NELSO SOUSA RIBEIRO                        GCE (GRUPO DE CIDADÃOS ELEITORES)
Oliveira do Douro                                              MARCOS FILIPE TEIXEIRA                     PS
Travanca                                                       ANTÓNIO PEREIRA DA COSTA                   PS
Moimenta                                                       CLÁUDIO CARLOS CARDOSO MONTEIRO            PS
Fornelos                                                       ANDRÉ FILIPE GONÇALVES DIAS ALVES          PS
Ferreiros de Tendais                                           ADOZINDA DE JESUS PEREIRA                  PS
Espadanedo                                                     MANUEL SOARES TEIXEIRA                     PPD/PSD.CDS-PP
Cinfães                                                        ARMANDO PINTO CAMPOS                       PS
Nespereira                                                     ANDRÉ FILIPE CARDOSO RIBEIRO               PPD/PSD.CDS-PP
São Cristóvão de Nogueira                                      MIGUEL AUGUSTO BRANCO BROCHADO DE CASTRO   PS

DISTRITO DE VISEU                     Concelho de LAMEGO
                          Freguesia                                                  Presidente                       Força política
Lalim                                                      MÁRIO FILIPE DE ALMEIDA FAUSTINO            PPD/PSD.CDS-PP
Sande                                                      ALEXANDRE FRANCISCO MORAIS MEDEIROS         PPD/PSD.CDS-PP
Várzea de Abrunhais                                        CARLOS MANUEL FERREIRA RODRIGUES            PPD/PSD.CDS-PP
Vila Nova de Souto d'El-Rei                                ARCILIO JORGE DE SOUSA LAMELAS              PPD/PSD.CDS-PP
Lamego (Almacave e Sé)                                     NUNO MIGUEL LÁZARO GONÇALVES                PS
União das freguesias de Bigorne, Magueija e Pretarouca     SÉRGIO PEDRO DA RUA CAPELA                  PPD/PSD.CDS-PP
União das freguesias de Parada do Bispo e Valdigem         BERNARDO MANUEL TEIXEIRA XAVIER             PS
Samodães                                                   JOSÉ MIGUEL MELO PEREIRA                    DESCONHECIDO
União das freguesias de Cepões, Meijinhos e Melcões        JOÃO PAULO ALVES SEIXAS                     PS
Avões                                                      HUGO MIGUEL CARDOSO REBELO                  PPD/PSD.CDS-PP
Lazarim                                                    PAULO HENRIQUE ALMEIDA LOUREIRO             PPD/PSD.CDS-PP
Penajóia                                                   CLÁUDIA CRISTINA DE ALMEIDA GOMES AZEVEDO   PS
Figueira                                                   TERESA MARIA FERNANDES CARDOSO FONSECA      PPD/PSD.CDS-PP
Ferreiros de Avões                                         AUGUSTO MANUEL PEREIRA DA CONCEIÇÃO         PPD/PSD.CDS-PP
Ferreirim                                                  WILSON MIGUEL LIMA TEIXEIRA                 PPD/PSD.CDS-PP
Cambres                                                    LEANDRO BAIORTE PINTO                       PPD/PSD.CDS-PP
Britiande                                                  GERMANO CORREIA RIBEIRO                     PPD/PSD.CDS-PP
Penude                                                     MANUEL VARANDA PINTO RODRIGUES              PS

DISTRITO DE VISEU                    Concelho de MANGUALDE
                         Freguesia                                                  Presidente                              Força política
Fornos de Maceira Dão                                       HUMBERTO FERNANDES MENDES                        PS
União das freguesias de Tavares (Chãs, Várzea e Travanca)   ALFREDO ANTÓNIO AMARAL DIAS                      PS
União das freguesias de Santiago de Cassurrães e Póvoa de Cervães   RUI MIGUEL FERREIRA VALÉRIO                      PS
União das freguesias de Moimenta de Maceira Dão e Lobelhe do Mato  NUNO GONÇALO RAMOS DE PAIVA                        PS
União das freguesias de Mangualde, Mesquitela e Cunha Alta   ALEXANDRE MIGUEL CARVALHO CONSTANTINO             PS
São João da Fresta                                          FERNANDO HENRIQUES LOPES                         PS
Freixiosa                                                   FILIPE ALEXANDRE CABRAL PINTO                    PPD/PSD.CDS-PP
Espinho                                                     BRUNO HENRIQUE MOREIRA PINTO                     GCE (GRUPO DE CIDADÃOS ELEITORES)
Cunha Baixa                                                 JOSÉ LUÍS GONÇALVES PEREIRA                      PS
Alcafache                                                   CARLOS MANUEL ALBUQUERQUE OLIVEIRA               PS
Abrunhosa-a-Velha                                           PAULA ALEXANDRA PEREIRA ALMEIDA MENDES PEREIRA   PPD/PSD.CDS-PP
Quintela de Azurara                                         RUI MANUEL DOMINGOS MARQUES                      PS

DISTRITO DE VISEU                    Concelho de MOIMENTA DA BEIRA
                         Freguesia                                                   Presidente                            Força política
Vila da Rua                                                FRANCISCO MANUEL GOMES PINTO                     PS
Arcozelos                                                  ANTÓNIO TIAGO MARTINS PEREIRA DA SILVA LIBÓRIO   PS
União das freguesias de Pêra Velha, Aldeia de Nacomba e Ariz  ARMANDO PEREIRA DE ALMEIDA                     PS
União das freguesias de Paradinha e Nagosa                 CÁTIA TRINDADE DE SOUSA                          PS
União das freguesias de Peva e Segões                      GILBERTO AFONSO RAMOS                            DESCONHECIDO
Vilar                                                      ANTÓNIO FERNANDO CARDOSO DO NASCIMENTO           PS
Sever                                                      RUI FERNANDO TOMÁS DE MATOS                      PS
Sarzedo                                                    EDUARDO DE CARVALHO SEIXAS                       DESCONHECIDO
Moimenta da Beira                                          MARIA EMILIA MARTINS GOMES DA COSTA              PCP-PEV
Leomil                                                     NUNO FILIPE MONTEIRO BERNARDO                    PPD/PSD.CDS-PP
CASTELO                                                   -                                                    -
Caria                                                      SÓNIA CRISTINA CORREIA DE JESUS                  PS
Baldos                                                     MIGUEL ÂNGELO GONÇALVES TEIXEIRA                 DESCONHECIDO
Alvite                                                     HUGO ALEXANDRE RIBEIRO DA SILVA                  DESCONHECIDO
Passô                                                      JORGE ANTÓNIO MOREIRA SIMÃO                      PS
Cabaços                                                    MÁRCIO JOEL PRAZERES MONTEIRO                    PS

DISTRITO DE VISEU                    Concelho de MORTÁGUA
                         Freguesia                                             Presidente                  Força política
Cercosa                                                NUNO MANUEL FERREIRA GOMES           PS
União das freguesias de Mortágua, Vale de Remígio, Cortegaça e Almaça    LUIS MIGUEL DE SOUSA DIAS            PS
Trezói                                                 ERNESTO GOMES PEREIRA                PS
Sobral                                                 EURICO TOMÉ GOMES                    PPD/PSD
Pala                                                   MAURO SIMÕES SEMEDO                  PS
Espinho                                                JOSÉ ANTÓNIO DOS SANTOS E SILVA      PS
Marmeleira                                             JOSÉ MANUEL LOPES MIDÕES             PS

DISTRITO DE VISEU                    Concelho de NELAS
                         Freguesia                                                  Presidente                  Força política
Vilar Seco                                               PEDRO MIGUEL MARQUES MORAIS             PPD/PSD
Lapa do Lobo                                             ANTÓNIO FERNANDES DA COSTA              PS
União das freguesias de Santar e Moreira                 ANABELA SAMPAIO ARAÚJO                  PS
Senhorim                                                 ANTÓNIO LUIS ROQUE SILVA                PPD/PSD
Canas de Senhorim                                        JEFFREY GUEDES ALMEIDA                  PPD/PSD
Nelas                                                    SÉRGIO MIGUEL DIAS DA ROCHA             PS
União das freguesias de Carvalhal Redondo e Aguieira     ANTÓNIO FERNANDO ANDRADE ALMEIDA        PPD/PSD

DISTRITO DE VISEU                     Concelho de OLIVEIRA DE FRADES
                          Freguesia                                                 Presidente                  Força política
São Vicente de Lafões                                      NUNO JOAQUIM DE ALMEIDA PINHÃO        NC
União das freguesias de Oliveira de Frades, Souto de Lafões e Sejães            JOSÉ MANUEL VALENTE CERVEIRA       PPD/PSD.CDS-PP
União das freguesias de Arca e Varzielas                   SIMÃO VIEGAS DA SILVA                 PPD/PSD.CDS-PP
São João da Serra                                          LUIS MANUEL RODRIGUES DIAS            PPD/PSD.CDS-PP
Ribeiradio                                                 PEDRO DANIEL OLIVEIRA SANTOS          PPD/PSD.CDS-PP
Pinheiro                                                   FILIPE RODRIGUES FERNANDES ANTUNES    PPD/PSD.CDS-PP
Arcozelo das Maias                                         JOSÉ ANTÓNIO PINTO RIBEIRO            PS
União das freguesias de Destriz e Reigoso                  CARLOS MANUEL FERREIRA DE LIMA        PPD/PSD.CDS-PP

DISTRITO DE VISEU                    Concelho de PENALVA DO CASTELO
                         Freguesia                                               Presidente                   Força política
CASTELO de Penalva                                       RUI MIGUEL RODRIGUES GRILO            PPD/PSD
Real                                                     CARLOS AFONSO ALVES MATOS             PS
União das freguesias de Vila Cova do Covelo/Mareco       PEDRO JORGE ALBUQUERQUE RODRIGUES     PS
União das freguesias de Antas e Matela                   ANTÓNIO CARLOS FERREIRA DE CARVALHO   PS
Trancozelos                                              JOAQUIM DOS SANTOS PEREIRA            PS
Sezures                                                  ARCIDRES RODRIGUES LOUREIRO           PS
Pindo                                                    SÉRGIO CABRAL OLIVEIRA MACÁRIO        PS
Lusinde                                                  MARCO PAULO PAIS CORREIA              PS
Ínsua                                                    MANUEL JOSÉ GOMES PEREIRA             PPD/PSD
Esmolfe                                                  NUNO PAULO FERREIRA MARQUES           PS
Germil                                                   LUÍS MIGUEL FERREIRA GOUVEIA          PS

DISTRITO DE VISEU                    Concelho de PENEDONO
                         Freguesia                                                   Presidente                  Força política
União das freguesias de Antas e Ourozinho                  ALEXANDRA MARIA AMARAL MARTINS RAMOS   PS
Penela da Beira                                            LUIS DANIEL DIREITO CACHINHO           PS
União das freguesias de Penedono e Granja                  JOSÉ MARIA TENREIRO                    PS
Beselga                                                    ANTÓNIO JOSÉ DOS SANTOS                PS
Souto                                                      GABRIEL GOMES CARIA                    PPD/PSD
Castainço                                                 -                                                    -
Póvoa de Penela                                            LUIS FERNANDO ROQUE LOPES NEVES        PPD/PSD

DISTRITO DE VISEU                     Concelho de RESENDE
                          Freguesia                                                 Presidente                  Força política
União das freguesias de Felgueiras e Feirão                -                                                    -
União das freguesias de Freigil e Miomães                   JORGE MANUEL TEIXEIRA PINTO          PPD/PSD.CDS-PP
União das freguesias de Anreade e São Romão de Aregos      -                                                    -
São Martinho de Mouros                                      ANTÓNIO LUCAS DIAS FERREIRA          PS
São João de Fontoura                                       -                                                    -
Resende                                                     ALBANO JOSÉ DIAS MOREIRA PEREIRA     PPD/PSD.CDS-PP
Paus                                                       -                                                    -
Cárquere                                                   -                                                    -
Barrô                                                      -                                                    -
União das freguesias de Ovadas e Panchorra                 -                                                    -
São Cipriano                                               -                                                    -

DISTRITO DE VISEU                    Concelho de SANTA COMBA DÃO
                         Freguesia                                                 Presidente                   Força política
São João de Areias                                      LUIS MIGUEL CARVALHO PAIS               PS
União das freguesias de Treixedo e Nagozela             JOSÉ LUIS LOPES DOS SANTOS              PS
União das freguesias de Ovoa e Vimieiro                 SILVIO FIGUEIREDO SIMÕES                PPD/PSD.IL
São Joaninho                                            DANIEL PEREIRA FERRREIRA GONÇALVES      PS
Pinheiro de Ázere                                       JOÃO PEDRO FERREIRA CARVALHO PINTO      PS
União das freguesias de Santa Comba Dão e Couto do Mosteiro     PAULO JOÃO MARQUES DE OLIVEIRA          PPD/PSD.IL

DISTRITO DE VISEU                    Concelho de SÃO JOÃO DA PESQUEIRA
                         Freguesia                                                  Presidente                   Força política
Nagozelo do Douro                                           EDUARDO AUGUSTO DIAS COELHO           PPD/PSD
União das freguesias de Vilarouco e Pereiros                PAULO ALEXANDRE RIBEIRO BITO          PPD/PSD
União das freguesias de Trevões e Espinhosa                 SOFIA ALEXANDRA PINTO SIMÕES BASTOS   PPD/PSD
União das freguesias de São João da Pesqueira e Várzea de Trevões  LUÍS MIGUEL DE OLIVEIRA RAMOS         PPD/PSD
Valongo dos Azeites                                         JOSÉ MANUEL ANDRADE SARAIVA           PPD/PSD
Vale de Figueira                                            MAURICIO DOS SANTOS FERREIRA          PPD/PSD
Paredes da Beira                                            JOSÉ FERNANDO DOS SANTOS              DESCONHECIDO
Riodades                                                    ANA SOFIA DA SILVA VELOSO AMARAL      PPD/PSD
Ervedosa do Douro                                           MANUEL JORGE GREGÓRIO FERNANDES       PPD/PSD
Castanheiro do Sul                                          ANABELA FIGUEIREDO DE SOUSA           PPD/PSD
Soutelo do Douro                                            MÓNICA CRISTINA FREIXO SANTOS         PPD/PSD

DISTRITO DE VISEU                    Concelho de SÃO PEDRO DO SUL
                         Freguesia                                                       Presidente                    Força política
São Félix                                                     ANTÓNIO JOSÉ GONÇALVES PEREIRA PINTO      PS
União das freguesias de São Pedro do Sul, Várzea e Baiões     JOÃO HEITOR GIRÃO VIEIRA                  PS
União das freguesias de São Martinho das Moitas e Covas do Rio  ANDRÉ FILIPE MARTINS RIBEIRO                 PS
União das freguesias de Santa Cruz da Trapa e São Cristóvão de Lafões  JOSÉ CELSO RODRIGUES MARTINS DE ALMEIDA   PS
União das freguesias de Carvalhais e Candal                   ADRIANO DE LIMA GOUVEIA AZEVEDO           GCE (GRUPO DE CIDADÃOS ELEITORES)
Vila Maior                                                    PAULO ALEXANDRE PINTO LIMA                PS
Valadares                                                     PEDRO DIAS VASCONCELOS SOARES             PPD/PSD
Serrazes                                                      BEATRIZ SOFIA RODRIGUES DE ALMEIDA        PS
Pinho                                                         RUI HENRIQUE RODRIGUES CARVALHO           PS
Pindelo dos Milagres                                          ANTÓNIO MARQUES ROLO                      PS
Manhouce                                                      DOMINGOS GOMES NOGUEIRA DUARTE            PS
Figueiredo de Alva                                            MANUEL ALFREDO PINTO RODRIGUES            PS
Bordonhos                                                     ANTÓNIO DE OLIVEIRA RODRIGUES             PPD/PSD
Sul                                                           JOSÉ PEDRO MAURÍCIO PEREIRA               PPD/PSD

DISTRITO DE VISEU                    Concelho de SÁTÃO
                         Freguesia                                               Presidente                             Força política
Rio de Moinhos                                           HÉLDER ALEXANDRE ALMEIDA BAPTISTA               PPD/PSD
União das freguesias de Águas Boas e Forles              DAVID MICAEL MOTA TAVARES                       PS
Silvã de Cima                                            JOÃO PEDRO LOPES DE ALMEIDA LOUREIRO SALVADOR   PPD/PSD
União das freguesias de Romãs, Decermilo e Vila Longa    BELARMINO PEREIRA LEITÃO                        PPD/PSD
Mioma                                                    ANÍBAL GOMES DE ALMEIDA CEIA                    PPD/PSD
Ferreira de Aves                                         MARCELO MORGADO RODRIGUES                       PPD/PSD
Avelal                                                   ALBANO COELHO DA ENCARNAÇÃO                     PS
Sátão                                                    ALBERTO FRANCISCO DA SILVA                      PS
São Miguel de Vila Boa                                   MANUEL ANTÓNIO PINA LOPES                       PPD/PSD

DISTRITO DE VISEU                    Concelho de SERNANCELHE
                         Freguesia                                                 Presidente                    Força política
Lamosa                                                   PAULO ALBINO RIBEIRO DOS SANTOS          PPD/PSD.CDS-PP
União das freguesias de Sernancelhe e Sarzeda            CARLOS ALBERTO AZEVEDO LOPES             CDS-PP.PPD/PSD
União das freguesias de Penso e Freixinho                JOSÉ AGOSTINHO DA SILVA                  PPD/PSD
União das freguesias de Fonte Arcada e Escurquela        NUNO FRANCLIM PEIXOTO QUINTAIS E SILVA   CDS-PP
União das freguesias de Ferreirim e Macieira             PEDRO JORGE SANTOS ALMEIDA               PPD/PSD
Quintela                                                 LUÍS CARLOS OLIVEIRA SANTOS              PPD/PSD
Granjal                                                  CRISTIANO PINTO SANTOS                   PPD/PSD
Faia                                                     ANTÓNIO MANUEL DE SOUSA SOBRAL           PPD/PSD
Cunha                                                    SÉRGIO DUARTE LOPES                      PPD/PSD
Chosendo                                                 JOÃO MANUEL RODRIGUES PROENÇA            GCE (GRUPO DE CIDADÃOS ELEITORES)
Carregal                                                 JOSÉ MIGUEL BARREIROS LAPA SOBRAL        PPD/PSD
Arnas                                                    PAULO UMBELINO BERNARDO DOS SANTOS       PPD/PSD
Vila da Ponte                                            RUI MIGUEL NUNES SARAIVA                 PPD/PSD

DISTRITO DE VISEU                     Concelho de TABUAÇO
                          Freguesia                                                    Presidente                            Força política
Valença do Douro                                            HUGO ANDRÉ COSTA AUGUSTO                          PS
União das freguesias de Pinheiros e Vale de Figueira        LEONEL CRISTÓVÃO DIAS FERNANDES                   DESCONHECIDO
Sendim                                                      MARCO DANIEL DOS SANTOS FERREIRA                  PS
União das freguesias de Barcos e Santa Leocádia             CARLOS ANDRÉ MACEDO CARVALHO                      DESCONHECIDO
União das freguesias de Távora e Pereiro                    MANUEL ADRIANO MOREIRA DA SILVA                   PS
Tabuaço                                                     JORGE MANUEL VAZ SANTOS                           PPD/PSD.CDS-PP
Granja do Tedo                                              JOSÉ ANTÓNIO VEIGA LOPES                          GCE (GRUPO DE CIDADÃOS ELEITORES)
Desejosa                                                    FAUSTINO DE JESUS MACEDO                          GCE (GRUPO DE CIDADÃOS ELEITORES)
Chavães                                                     MANUEL ANTÓNIO CARVALHO DA SILVA                  PPD/PSD.CDS-PP
Arcos                                                       RAÚL PEDRO MARQUES GONÇALVES DE FREITAS MOREIRA   GCE (GRUPO DE CIDADÃOS ELEITORES)
Adorigo                                                     ÂNGELO TIAGO CARVALHO LAGES                       PS
União das freguesias de Paradela e Granjinha                SÉRGIO MANUEL FERREIRA                            GCE (GRUPO DE CIDADÃOS ELEITORES)
Longa                                                       JOAQUIM FILIPE LIMA TAVEIRA                       PPD/PSD.CDS-PP

DISTRITO DE VISEU                    Concelho de TAROUCA
                         Freguesia                                                 Presidente                  Força política
Dálvares                                                   CARLA PAULA DA SILVA CARDOSO         PPD/PSD
Ucanha                                                     NÁDIA ALEXANDRA CERDEIRA CARDOSO     PPD/PSD
Gouviães                                                   DIOGO MIGUEL SANTANA BERNARDO        PPD/PSD
União das freguesias de Granja Nova e Vila Chã da Beira    VASCO MANUEL GUEDES TEIXEIRA         PPD/PSD
Várzea da Serra                                            MANUEL DO CARMO FERREIRA             PPD/PSD
São João de Tarouca                                       -                                                    -
Salzedas                                                   BRUNO MIGUEL TIBÉRIO CRUZ            PPD/PSD
Mondim da Beira                                            NOÉMIA CLÁUDIA DIAS PEREIRA          PPD/PSD
Tarouca                                                    TIAGO JORGE MARTINS EUSÉBIO          PPD/PSD

DISTRITO DE VISEU                     Concelho de TONDELA
                          Freguesia                                                 Presidente                  Força política
Tonda                                                       CARLOS JOSÉ LOUREIRO COIMBRA         GCE (GRUPO DE CIDADÃOS ELEITORES)
União das freguesias de Caparrosa e Silvares                MÁRIO BARREIRA SIMÕES                PS
Vilar de Besteiros                                         -                                                    -
Tourigo                                                     JOSÉ HELDER DE MATOS FIGUEIRA        PPD/PSD
São Miguel do Outeiro                                       PAULO JORGE CORREIA BIZARRO          PPD/PSD
Sabugosa                                                    MIGUEL ANTÓNIO CORREIA PINHEIRO      PPD/PSD
Mosteiro de Fráguas                                        -                                                    -
Barreiro de Besteiros                                      -                                                    -
União das freguesias de Tondela e Nandufe                  -                                                    -
União das freguesias de São João do Monte e Mosteirinho     PAULO SÉRGIO DOS SANTOS DINIS        GCE (GRUPO DE CIDADÃOS ELEITORES)
Campo de Besteiros                                         -                                                    -
Parada de Gonta                                            -                                                    -
União das freguesias de Mouraz e Vila Nova da Rainha       -                                                    -
Molelos                                                    -                                                    -
Lobão da Beira                                             -                                                    -
Lajeosa do Dão                                             -                                                    -
Guardão                                                     RICARDO JORGE SILVA LOUREIRO         GCE (GRUPO DE CIDADÃOS ELEITORES)
Ferreirós do Dão                                           -                                                    -
Dardavaz                                                   -                                                    -
CASTELOões                                                   MÁRIO VÍTOR SILVA PEREIRA            PPD/PSD
Canas de Santa Maria                                        PAULO ALEXANDRE DA COSTA DINIS       PS
Santiago de Besteiros                                       JÚLIO PACHECO GOMES                  PPD/PSD

DISTRITO DE VISEU                     Concelho de VILA NOVA DE PAIVA
                          Freguesia                                                    Presidente                  Força política
Touro                                                          MÁRIO JORGE MARINHO MORGADO          PS
Vila Cova à Coelheira                                          FERNANDO GUEDES PINTO                PS
Pendilhe                                                       ANA MARIA DA SILVA SANTOS            PPD/PSD
Queiriga                                                       CRISTÓVÃO FERREIRA CHAVES            PS
União das freguesias de Vila Nova de Paiva, Alhais e Fráguas   ALBERTO ROCHA AFONSO                 PS

DISTRITO DE VISEU                     Concelho de VISEU
                          Freguesia                                                    Presidente                                   Força política
Coutos de Viseu                                              MELÂNIA ESTEVES RODRIGUES                              PPD/PSD
Rio de Loba                                                  ADELINO SILVÉRIO FERREIRA ESTEVES                      PS
Santos Evos                                                  FERNANDO JOSÉ CARDOSO RODRIGUES                        PPD/PSD
Lordosa                                                      JOSÉ MANUEL LOPES PEREIRA                              PS
São João de Lourosa                                          JOEL SOARES MARQUES                                    PS
São Pedro de France                                          JOSÉ ERNESTO BARREIROS COELHO                          PPD/PSD
União das freguesias de Boa Aldeia, Farminhão e Torredeita   MANUEL JORGE NUNES                                     PPD/PSD
Fail e Vila Chã de Sá                                        ANTÓNIO JOSÉ OLIVEIRA FERREIRA                         PPD/PSD
Repeses e São Salvador                                       MÁRCIA SOFIA GOMES LIMA                                PS
São Cipriano e Vil de Souto                                  CARLOS ALBERTO FIGUEIREDO RODRIGUES                    PPD/PSD
Viseu                                                        NUNO MIGUEL BICO ALVES DE MATOS                        PS
Ribafeita                                                    CUSTÓDIO DE FIGUEIREDO FERREIRA                        PPD/PSD
União das freguesias de Barreiros e Cepões                   NUNO ALMEIDA AMARAL                                    MPT
Cavernães                                                    ANTÓNIO MANUEL DE ALMEIDA SILVA REGO                   PPD/PSD
Mundão                                                       MARIA LUCÍLIA DA SILVA DE OLIVEIRA CAMPOS FIGUEIREDO   PPD/PSD
Bodiosa                                                      RUI PEDRO ALVES LIMA                                   PPD/PSD
Campo                                                        PEDRO DANIEL GOMES APARÍCIO                            PPD/PSD
Abraveses                                                    FERNANDO JORGE DA SILVA MENDES                         PPD/PSD
Cota                                                         JOAQUIM POLÓNIO LOPES                                  PPD/PSD
Fragosela                                                    JOSÉ DA SILVA PEREIRA                                  DESCONHECIDO
Ranhados                                                     BRUNO VIDEIRA DE ALBUQUERQUE FERNANDES                 PPD/PSD
Silgueiros                                                   RUI FILIPE MARQUES FERREIRA FELÍCIA MENDES             PPD/PSD
Orgens                                                       MAURÍCIO MARQUES DIAS                                  PPD/PSD

DISTRITO DE VISEU                   Concelho de VISEU
                        Freguesia                                              Presidente                  Força política
Povolide                                                LINO MIGUEL LOPES DO NASCIMENTO     PPD/PSD
Calde                                                   HERMENEGILDO DE ALMEIDA GONÇALVES   PPD/PSD

DISTRITO DE VISEU                    Concelho de VOUZELA
                         Freguesia                                                    Presidente                     Força política
Ventosa                                                    AGOSTINHO CONSTANTINO RODRIGUES CARVALHO   PPD/PSD
União das freguesias de Vouzela e Paços de Vilharigues     JOSÉ LINO SIMÕES LOPES TAVARES             PPD/PSD
União das freguesias de Fataunços e Figueiredo das Donas   JOSÉ CARLOS PINTO CHAVES                   PPD/PSD
União das freguesias de Cambra e Carvalhal de Vermilhas    RUI MANUEL VILAFANHA DE CARVALHO           PPD/PSD
São Miguel do Mato                                         DANIEL DOS SANTOS MENESES PEREIRA          PPD/PSD
Queirã                                                     PAULO CÉSAR MENDES RIBEIRO                 PPD/PSD
Fornelo do Monte                                           CELSO BARREIRA RODRIGUES                   GCE (GRUPO DE CIDADÃOS ELEITORES)
Alcofra                                                    GIL HENRIQUES GIESTAS                      PPD/PSD
Campia                                                     NUNO FILIPE PEREIRA RIBEIRO                PPD/PSD

Região Autónoma da Madeira          Concelho de CALHETA
                        Freguesia                                                  Presidente                  Força política
Calheta                                                   ANTERO MANUEL SANTANA                 PPD/PSD
Ponta do Pargo                                            JOSÉ MANUEL SOUSA JARDIM              PPD/PSD
Prazeres                                                  CARLOS DINIS GONÇALVES                PPD/PSD
Paul do Mar                                               PAULO SÉRGIO FRANÇA RODRIGUES         PPD/PSD
Estreito da Calheta                                       JOÃO NAZÁRIO GOUVEIA                  PPD/PSD
Arco da Calheta                                           ADELINO DE GOUVEIA JARDIM             PPD/PSD
Jardim do Mar                                             CÉLIO DO CARMO MENDES DE SOUSA        PPD/PSD
Fajã da Ovelha                                            DELFIM LUÍS D' ACHADA LOURENÇO        CDS-PP

Região Autónoma da Madeira          Concelho de CÂMARA DE LOBOS
                        Freguesia                                                   Presidente                  Força política
Câmara de Lobos                                        JORGE FILIPE SILVA FREITAS                PPD/PSD
Curral das Freiras                                     DINA SIMÃO ABREU SILVA                    PPD/PSD
Estreito de Câmara de Lobos                            ALEXANDRE EMANUEL MARQUES FIGUEIRA        PPD/PSD
Quinta Grande                                          LETÍCIA CARINA FERNANDES DAS ALMAS        PPD/PSD
Jardim da Serra                                        VALENTIM MARCELINO DA SILVA JOÃO          PPD/PSD

Região Autónoma da Madeira          Concelho de FUNCHAL
                        Freguesia                                                  Presidente                                Força política
Imaculado Coração de Maria                                PEDRO MANUEL NÓBREGA DOS SANTOS DE FREITAS ARAÚJO   PPD/PSD.CDS-PP
Funchal (Sé)                                              SANDRA FABRÍCIA TAVARES TEIXEIRA                    PPD/PSD.CDS-PP
